door_anchor_count,drop_reason,has_room_child_door,has_room_child_window,is_major_room,native_room_child_door_count,native_room_child_window_count,opening_source_policy,room_type,sample_id,scene_global_door_count,scene_global_door_ignored,scene_global_window_count,source_scene_json,training_gate_status,window_anchor_count
0,drop_no_room_child_door_anchor,False,False,False,0,0,semlayoutdiff_room_children_only,elderlyroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_01,1,True,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,study,36c96aa6-a318-4212-aecc-22a206d7b217_room_02,1,True,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_05,1,True,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json,drop,0
0,drop_no_room_child_door_anchor,False,True,True,0,1,semlayoutdiff_room_children_only,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_00,10,True,10,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json,drop,1
0,drop_no_room_child_door_anchor,False,True,True,0,1,semlayoutdiff_room_children_only,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_01,10,True,10,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json,drop,1
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_08,10,True,10,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json,drop,0
0,drop_no_room_child_door_anchor,False,True,True,0,1,semlayoutdiff_room_children_only,bedroom,23a5fa77-0aa5-45f4-8399-3265005b1def_room_00,16,True,6,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/23a5fa77-0aa5-45f4-8399-3265005b1def.json,drop,1
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_02,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,livingroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_03,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_05,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json,drop,0
0,drop_no_room_child_door_anchor,False,True,True,0,1,semlayoutdiff_room_children_only,bedroom,3f2629fe-a957-4e83-893a-28d476318740_room_00,10,True,2,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f2629fe-a957-4e83-893a-28d476318740.json,drop,1
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,555d38a7-689e-4340-ae91-a9a1dd650216_room_01,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/555d38a7-689e-4340-ae91-a9a1dd650216.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,555d38a7-689e-4340-ae91-a9a1dd650216_room_02,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/555d38a7-689e-4340-ae91-a9a1dd650216.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,82085a6f-82f5-4a49-a5b1-3f69e530edb0_room_05,14,True,6,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/82085a6f-82f5-4a49-a5b1-3f69e530edb0.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,livingroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_02,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_04,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_05,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json,drop,0
0,drop_no_room_child_door_anchor,False,False,False,0,0,semlayoutdiff_room_children_only,kidsroom,d0c14885-e196-4d0b-ab91-e09590787a50_room_06,0,False,0,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/d0c14885-e196-4d0b-ab91-e09590787a50.json,drop,0
0,drop_no_room_child_door_anchor,False,False,True,0,0,semlayoutdiff_room_children_only,bedroom,75c62dac-2d9c-4d49-b43a-b66986acddd4_room_01,60,True,45,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/75c62dac-2d9c-4d49-b43a-b66986acddd4.json,drop,0
