action,step,loss,lr,grad_norm,cuda_max_memory_allocated_mb,cuda_max_memory_reserved_mb
REMOVE,1,0.0038196975365281105,3.3333333333333335e-05,0.009957014583051205,59769.9013671875,61276.0
REMOVE,2,0.000982872094027698,3.3333333333333335e-05,0.0020150865893810987,60680.2080078125,61642.0
REMOVE,3,0.00661663431674242,3.3333333333333335e-05,0.015067258849740028,60681.4775390625,61642.0
REMOVE,4,0.0008105839369818568,3.3333333333333335e-05,0.0018282369710505009,60681.4775390625,61642.0
REMOVE,5,0.003152343211695552,0.0001,0.04862208291888237,60681.4775390625,61642.0
REMOVE,6,0.0026706629432737827,0.0001,0.008467976935207844,60681.4775390625,61642.0
REMOVE,7,0.0008555424283258617,0.0001,0.001731191878207028,60681.4775390625,61642.0
REMOVE,8,0.0022607494611293077,0.0001,0.005439544562250376,60681.4775390625,61642.0
REMOVE,9,0.0009670911822468042,0.0001,0.0029879461508244276,60681.4775390625,61642.0
REMOVE,10,0.00290382350794971,0.0001,0.01264230627566576,60681.4775390625,61642.0
REMOVE,11,0.0008503337157890201,0.0001,0.0019261696143075824,60682.0986328125,61642.0
REMOVE,12,0.0171241145581007,0.0001,0.04123453050851822,60682.0986328125,61642.0
REMOVE,13,0.001525583676993847,0.0001,0.012958446517586708,60682.0986328125,61642.0
REMOVE,14,0.0006545567302964628,0.0001,0.0021668286062777042,60682.0986328125,61642.0
REMOVE,15,0.004775060340762138,0.0001,0.006928345188498497,60682.0986328125,61642.0
REMOVE,16,0.0014087966410443187,0.0001,0.009974999353289604,60682.0986328125,61642.0
REMOVE,17,0.0006617266335524619,0.0001,0.002543368609622121,60682.0986328125,61642.0
REMOVE,18,0.003840658813714981,0.0001,0.018109919503331184,60682.0986328125,61642.0
REMOVE,19,0.0010547031415626407,0.0001,0.007534756790846586,60682.0986328125,61642.0
REMOVE,20,0.001970988931134343,0.0001,0.0032097126822918653,60682.0986328125,61642.0
REMOVE,21,0.002493537263944745,0.0001,0.014467156492173672,60680.8564453125,61642.0
REMOVE,22,0.0021633529104292393,0.0001,0.004207226447761059,60681.4775390625,61642.0
REMOVE,23,0.0007752359961159527,0.0001,0.004543779417872429,60681.4775390625,61642.0
REMOVE,24,0.0007538786740042269,0.0001,0.004395277239382267,60681.4775390625,61642.0
REMOVE,25,0.013946683146059513,0.0001,0.031138451769948006,60681.4775390625,61642.0
REMOVE,26,0.0033144436310976744,0.0001,0.01247609406709671,60681.4775390625,61642.0
REMOVE,27,0.010777488350868225,0.0001,0.02081608586013317,60681.4775390625,61642.0
REMOVE,28,0.0034068638924509287,0.0001,0.009801609441637993,60681.4775390625,61642.0
REMOVE,29,0.0037228604778647423,0.0001,0.009144922718405724,60681.4775390625,61642.0
REMOVE,30,0.003870934247970581,0.0001,0.006640380714088678,60681.4775390625,61642.0
REMOVE,31,0.004927769768983126,0.0001,0.007691407110542059,60680.8564453125,61642.0
REMOVE,32,0.010583881288766861,0.0001,0.020333681255578995,60681.4775390625,61642.0
REMOVE,33,0.0018534341361373663,0.0001,0.016288835555315018,60681.4775390625,61642.0
REMOVE,34,0.0014968137256801128,0.0001,0.010020511224865913,60682.0986328125,61642.0
REMOVE,35,0.000396980089135468,0.0001,0.0006221251678653061,60682.0986328125,61642.0
REMOVE,36,0.0017254622653126717,0.0001,0.02283422276377678,60682.0986328125,61642.0
REMOVE,37,0.003945247735828161,0.0001,0.011198094114661217,60682.0986328125,61642.0
REMOVE,38,0.0012660307111218572,0.0001,0.00753991911187768,60682.0986328125,61642.0
REMOVE,39,0.0006299869273789227,0.0001,0.002833309816196561,60682.0986328125,61642.0
REMOVE,40,0.001787099870853126,0.0001,0.006036564242094755,60682.0986328125,61642.0
REMOVE,41,0.0013624773127958179,0.0001,0.003404380055144429,60681.4775390625,61642.0
REMOVE,42,0.002794563537463546,0.0001,0.009251207113265991,60681.4775390625,61642.0
REMOVE,43,0.0023343090433627367,0.0001,0.012933356687426567,60682.0986328125,61642.0
REMOVE,44,0.0034477771259844303,0.0001,0.009660253301262856,60682.0986328125,61642.0
REMOVE,45,0.0006502228789031506,0.0001,0.0027823096606880426,60682.0986328125,61642.0
REMOVE,46,0.000765190867241472,0.0001,0.00545783806592226,60682.0986328125,61642.0
REMOVE,47,0.0009832145879045129,0.0001,0.004866589326411486,60682.0986328125,61642.0
REMOVE,48,0.004071117844432592,0.0001,0.003452206263318658,60682.0986328125,61642.0
REMOVE,49,0.0027874624356627464,0.0001,0.010969397611916065,60682.0986328125,61642.0
REMOVE,50,0.0005587302148342133,0.0001,0.0010931631550192833,60682.0986328125,61642.0
REMOVE,51,0.0007049383129924536,0.0001,0.0021043415181338787,60680.8564453125,61642.0
REMOVE,52,0.004476906266063452,0.0001,0.02176092565059662,60681.4775390625,61642.0
REMOVE,53,0.0005818608915433288,0.0001,0.0011436359491199255,60681.4775390625,61642.0
REMOVE,54,0.00062922528013587,0.0001,0.0011857160134240985,60681.4775390625,61642.0
REMOVE,55,0.00235353852622211,0.0001,0.012004672549664974,60681.4775390625,61642.0
REMOVE,56,0.002473840257152915,0.0001,0.007760098669677973,60681.4775390625,61642.0
REMOVE,57,0.015882212668657303,0.0001,0.009554106742143631,60681.4775390625,61642.0
REMOVE,58,0.0011589792557060719,0.0001,0.002584737492725253,60681.4775390625,61642.0
