action,step,loss
ADD,1,0.0226505808532238
ADD,2,0.010186816565692425
ADD,3,0.004370696377009153
ADD,4,0.006506315898150206
ADD,5,0.004675654228776693
ADD,6,0.005762449931353331
ADD,7,0.008053039200603962
ADD,8,0.01154565904289484
ADD,9,0.005695457570254803
ADD,10,0.006259834859520197
ADD,11,0.00488794781267643
ADD,12,0.008720701560378075
ADD,13,0.00500510586425662
ADD,14,0.0038555338978767395
ADD,15,0.014453371986746788
ADD,16,0.003397925989702344
ADD,17,0.0006597142200917006
ADD,18,0.004787842743098736
ADD,19,0.003389607649296522
ADD,20,0.004770262166857719
ADD,21,0.0029101145919412374
ADD,22,0.004775613080710173
ADD,23,0.0036296709440648556
ADD,24,0.002200497779995203
ADD,25,0.004278156906366348
ADD,26,0.007609406486153603
ADD,27,0.005331158638000488
ADD,28,0.0064468709751963615
ADD,29,0.0035876238252967596
ADD,30,0.0031835141126066446
ADD,31,0.0046264780685305595
ADD,32,0.0037935085128992796
ADD,33,0.010731094516813755
ADD,34,0.005232563242316246
ADD,35,0.0035151445772498846
ADD,36,0.0036924341693520546
ADD,37,0.0034944864455610514
ADD,38,0.004293191246688366
ADD,39,0.003816064679995179
ADD,40,0.004381371662020683
ADD,41,0.009618251584470272
ADD,42,0.0022663974668830633
ADD,43,0.0035481734666973352
ADD,44,0.004241694696247578
ADD,45,0.005631850566715002
ADD,46,0.0039440542459487915
ADD,47,0.008084883913397789
ADD,48,0.004131645895540714
ADD,49,0.003824989078566432
ADD,50,0.007273684721440077
ADD,51,0.004432191606611013
ADD,52,0.0035454838071018457
ADD,53,0.0014678518055006862
ADD,54,0.0024940581060945988
ADD,55,0.0026889266446232796
ADD,56,0.005871860310435295
ADD,57,0.001567989937029779
ADD,58,0.009244164451956749
ADD,59,0.004006090573966503
ADD,60,0.001776188495568931
ADD,61,0.003248977242037654
ADD,62,0.0026019385550171137
ADD,63,0.004363841377198696
ADD,64,0.0033934384118765593
ADD,65,0.0010928614065051079
ADD,66,0.005714889615774155
ADD,67,0.002575184218585491
ADD,68,0.0018541781464591622
ADD,69,0.002739087911322713
ADD,70,0.004103925544768572
ADD,71,0.0035019225906580687
ADD,72,0.003383287927135825
ADD,73,0.002497962908819318
ADD,74,0.003416867693886161
ADD,75,0.0024810447357594967
ADD,76,0.005958151537925005
ADD,77,0.0041791098192334175
ADD,78,0.0030040035489946604
ADD,79,0.002802366390824318
ADD,80,0.003313813591375947
ADD,81,0.006089382339268923
ADD,82,0.002595239318907261
ADD,83,0.001639092806726694
ADD,84,0.003419614164158702
ADD,85,0.000875735015142709
ADD,86,0.003197296056896448
ADD,87,0.00823160819709301
ADD,88,0.0037194681353867054
ADD,89,0.002799753565341234
ADD,90,0.0012141985353082418
ADD,91,0.0013793690595775843
ADD,92,0.0023860561195760965
ADD,93,0.0032555260695517063
ADD,94,0.006443157326430082
ADD,95,0.0031754898373037577
ADD,96,0.0026886463165283203
ADD,97,0.0024535623379051685
ADD,98,0.0013556084595620632
ADD,99,0.0023164767771959305
ADD,100,0.0025319650303572416
