action,step,loss
MIXED,1,0.007375115528702736
MIXED,2,0.0014297544257715344
MIXED,3,0.0009113943669945002
MIXED,4,0.004490111954510212
MIXED,5,0.005257093347609043
MIXED,6,0.0055234176106750965
MIXED,7,0.004801952745765448
MIXED,8,0.015398303046822548
MIXED,9,0.008729874156415462
MIXED,10,0.010349038988351822
MIXED,11,0.005757645703852177
MIXED,12,0.008181752637028694
MIXED,13,0.003951812628656626
MIXED,14,0.002710271393880248
MIXED,15,0.003291205270215869
MIXED,16,0.0010969684226438403
MIXED,17,0.0037358072586357594
MIXED,18,0.009915966540575027
MIXED,19,0.0015806540613994002
MIXED,20,0.0018494809046387672
MIXED,21,0.003588353516533971
MIXED,22,0.0011211145902052522
MIXED,23,0.0020782470237463713
MIXED,24,0.00864690076559782
MIXED,25,0.003299548290669918
MIXED,26,0.005995328072458506
MIXED,27,0.004357410129159689
MIXED,28,0.0028141860384494066
MIXED,29,0.004497702233493328
MIXED,30,0.0018490689108148217
MIXED,31,0.004015189595520496
MIXED,32,0.007633927743881941
MIXED,33,0.0009881495498120785
MIXED,34,0.0031132095027714968
MIXED,35,0.003308006329461932
MIXED,36,0.004118423443287611
MIXED,37,0.011382966302335262
MIXED,38,0.017233852297067642
MIXED,39,0.0027907174080610275
MIXED,40,0.0053604901768267155
MIXED,41,0.0
MIXED,42,0.011773128062486649
MIXED,43,0.0032114319037646055
MIXED,44,0.005969981662929058
MIXED,45,0.003828673856332898
MIXED,46,0.003794162767007947
MIXED,47,0.0035060951486229897
MIXED,48,0.0011730726109817624
MIXED,49,0.0010733313392847776
MIXED,50,0.0031066550873219967
MIXED,51,0.004039452411234379
MIXED,52,0.003635033033788204
MIXED,53,0.0035862054210156202
MIXED,54,0.0004925774992443621
MIXED,55,0.0037200164515525103
MIXED,56,0.0013053147122263908
MIXED,57,0.005783531814813614
MIXED,58,0.003105727257207036
MIXED,59,0.0028546422254294157
MIXED,60,0.00181105628143996
MIXED,61,0.003732980228960514
MIXED,62,0.006713187787681818
MIXED,63,0.0030759992077946663
MIXED,64,0.007851536385715008
MIXED,65,0.0025163290556520224
MIXED,66,0.0012653630692511797
MIXED,67,0.009991995058953762
MIXED,68,0.004023637622594833
MIXED,69,0.0027519825380295515
MIXED,70,0.003163748886436224
MIXED,71,0.0030693758744746447
MIXED,72,0.0028389475774019957
MIXED,73,0.0010188538581132889
MIXED,74,0.0013352208770811558
MIXED,75,0.007495757658034563
MIXED,76,0.0015721095260232687
MIXED,77,0.002162293065339327
MIXED,78,0.0022063145879656076
MIXED,79,0.001051684026606381
MIXED,80,0.006882200948894024
MIXED,81,0.002976712305098772
MIXED,82,0.005322861485183239
MIXED,83,0.004278261214494705
MIXED,84,0.0010884924558922648
MIXED,85,0.004061813931912184
MIXED,86,0.003838892327621579
MIXED,87,0.00306075531989336
MIXED,88,0.003067996120080352
MIXED,89,0.00295648374594748
MIXED,90,0.0008664209162816405
MIXED,91,0.003199613420292735
MIXED,92,0.0031340508721768856
MIXED,93,0.002330770483240485
MIXED,94,0.003463879693299532
MIXED,95,0.004132675006985664
MIXED,96,0.001130411634221673
MIXED,97,0.002959969686344266
MIXED,98,0.0034856360871344805
MIXED,99,0.003318537026643753
MIXED,100,0.0024115650448948145
MIXED,101,0.0017494959756731987
MIXED,102,0.006890034768730402
MIXED,103,0.0005151725490577519
MIXED,104,0.002079055644571781
MIXED,105,0.0034053586423397064
MIXED,106,0.002129825297743082
MIXED,107,0.002937022130936384
MIXED,108,0.003226371482014656
