boundary_is_bbox_fallback,boundary_source,door_anchor_count_after_recovery,door_anchor_count_before,door_recovered,door_recovery_source,is_major_room,room_type,sample_id,source_scene_json,training_gate_status,window_anchor_count_after_recovery,window_anchor_count_before,window_recovered
False,room_floor_mesh,0,0,False,,True,study,36c96aa6-a318-4212-aecc-22a206d7b217_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,bedroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,livingroom,b3c0420b-d411-4886-9e3b-56c1384bc521_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/b3c0420b-d411-4886-9e3b-56c1384bc521.json,drop_no_recoverable_door_anchor,2,1,True
False,room_floor_mesh,0,0,False,,True,bedroom,a90118af-0020-44f0-8699-be48e0bdcbb6_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/a90118af-0020-44f0-8699-be48e0bdcbb6.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,livingroom,a90118af-0020-44f0-8699-be48e0bdcbb6_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/a90118af-0020-44f0-8699-be48e0bdcbb6.json,drop_no_recoverable_door_anchor,1,0,True
False,room_floor_mesh,0,0,False,,True,bedroom,a90118af-0020-44f0-8699-be48e0bdcbb6_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/a90118af-0020-44f0-8699-be48e0bdcbb6.json,drop_no_recoverable_door_anchor,3,0,True
False,room_floor_mesh,0,0,False,,True,bedroom,f2e9f7ec-737a-472e-9e4a-9895805dea77_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/f2e9f7ec-737a-472e-9e4a-9895805dea77.json,drop_no_recoverable_door_anchor,5,0,True
False,room_floor_mesh,0,0,False,,True,livingroom,cbdc6e88-6835-4306-8020-e03b90f3279f_room_08,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/cbdc6e88-6835-4306-8020-e03b90f3279f.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,livingroom,a5efdf8a-2480-4453-a958-3218e5929d6c_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/a5efdf8a-2480-4453-a958-3218e5929d6c.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,bedroom,99ac1d0e-f0f1-4cb9-9b0c-d39a67083168_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/99ac1d0e-f0f1-4cb9-9b0c-d39a67083168.json,drop_no_recoverable_door_anchor,3,2,True
False,room_floor_mesh,0,0,False,,True,livingroom,0003d406-5f27-4bbf-94cd-1cff7c310ba1_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/0003d406-5f27-4bbf-94cd-1cff7c310ba1.json,drop_no_recoverable_door_anchor,8,0,True
False,room_floor_mesh,0,0,False,,True,livingroom,8e018e8b-7eae-42d5-baa5-b1e75992cdb4_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/8e018e8b-7eae-42d5-baa5-b1e75992cdb4.json,drop_no_recoverable_door_anchor,0,0,False
False,room_floor_mesh,0,0,False,,True,livingroom,e6683ed8-9046-4004-9cc4-54a89ae86b71_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/e6683ed8-9046-4004-9cc4-54a89ae86b71.json,drop_no_recoverable_door_anchor,6,4,True
False,room_floor_mesh,0,0,False,,True,livingroom,ef9270fb-978c-4918-a560-98c6408f12f5_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/ef9270fb-978c-4918-a560-98c6408f12f5.json,drop_no_recoverable_door_anchor,2,1,True
False,room_floor_mesh,0,0,False,,True,diningroom,3dbd60ef-1a69-4880-8568-68078a779d80_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3dbd60ef-1a69-4880-8568-68078a779d80.json,drop_no_recoverable_door_anchor,3,0,True
False,room_floor_mesh,0,0,False,,True,bedroom,af3b887b-bfb6-49a9-a40d-ec53e6fcffbd_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/af3b887b-bfb6-49a9-a40d-ec53e6fcffbd.json,drop_no_recoverable_door_anchor,7,6,True
False,room_floor_mesh,0,0,False,,True,bedroom,c0da586c-04ed-4208-b3b9-21f2c0992e55_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/c0da586c-04ed-4208-b3b9-21f2c0992e55.json,drop_no_recoverable_door_anchor,1,1,False
False,room_floor_mesh,0,0,False,,True,livingroom,9547ae88-9d5b-48c0-9265-81f9009f80c3_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/9547ae88-9d5b-48c0-9265-81f9009f80c3.json,drop_no_recoverable_door_anchor,4,4,False
False,room_floor_mesh,0,0,False,,True,livingroom,e0570ea5-fb3a-46a5-af88-e992ea7a7da3_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/e0570ea5-fb3a-46a5-af88-e992ea7a7da3.json,drop_no_recoverable_door_anchor,6,5,True
False,room_floor_mesh,0,0,False,,True,bedroom,b9d37690-fea3-4845-a0f0-4d490b35614d_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/b9d37690-fea3-4845-a0f0-4d490b35614d.json,drop_no_recoverable_door_anchor,3,1,True
False,room_floor_mesh,0,0,False,,True,bedroom,eaa1c03f-cd76-4ecb-abcc-0e66fa5a2c07_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/eaa1c03f-cd76-4ecb-abcc-0e66fa5a2c07.json,drop_no_recoverable_door_anchor,2,1,True
False,room_floor_mesh,0,0,False,,True,bedroom,eaa1c03f-cd76-4ecb-abcc-0e66fa5a2c07_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/eaa1c03f-cd76-4ecb-abcc-0e66fa5a2c07.json,drop_no_recoverable_door_anchor,2,1,True
False,room_floor_mesh,0,0,False,,True,livingroom,acc067a8-d6be-4010-8cec-4c651e713c45_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/acc067a8-d6be-4010-8cec-4c651e713c45.json,drop_no_recoverable_door_anchor,8,0,True
False,room_floor_mesh,0,0,False,,True,livingroom,acc067a8-d6be-4010-8cec-4c651e713c45_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/acc067a8-d6be-4010-8cec-4c651e713c45.json,drop_no_recoverable_door_anchor,12,0,True
